Gene1,Gene2,Confidence Score,Origin
AAEL001140,AAEL005494,0.977,yeast
AAEL014018,AAEL014670,0.976,fly
AAEL004680,AAEL011711,0.976,fly
AAEL005500,AAEL003972,0.976,fly
AAEL008641,AAEL013991,0.976,yeast/worm
AAEL006738,AAEL000339,0.975,fly
AAEL004291,AAEL006346,0.975,fly
AAEL008508,AAEL006346,0.975,fly
AAEL011304,AAEL011934,0.975,fly
AAEL006988,AAEL006789,0.975,yeast
AAEL008621,AAEL010094,0.975,yeast
AAEL000394,AAEL015244,0.975,yeast
AAEL000394,AAEL012348,0.975,yeast
AAEL010305,AAEL009614,0.974,fly
AAEL008323,AAEL006352,0.974,fly
AAEL008257,AAEL007521,0.974,yeast
AAEL009465,AAEL006223,0.974,yeast/worm/fly
AAEL000255,AAEL004653,0.973,fly
AAEL005174,AAEL007682,0.973,fly
AAEL010080,AAEL007457,0.973,yeast
AAEL007484,AAEL001516,0.973,yeast
AAEL004631,AAEL003957,0.973,yeast/fly
AAEL014600,AAEL000897,0.972,fly
AAEL014040,AAEL002980,0.972,fly
AAEL007883,AAEL000262,0.972,fly
AAEL014040,AAEL014167,0.972,fly
AAEL012035,AAEL013302,0.972,fly
AAEL002887,AAEL004858,0.972,worm/fly
AAEL002887,AAEL004835,0.972,worm/fly
AAEL002810,AAEL000999,0.972,yeast
AAEL011905,AAEL008154,0.972,yeast
AAEL000692,AAEL006501,0.972,yeast/fly
AAEL006374,AAEL006374,0.971,fly
AAEL008124,AAEL009731,0.971,fly
AAEL000810,AAEL002240,0.971,fly
AAEL001756,AAEL003273,0.971,yeast
AAEL011650,AAEL010704,0.971,yeast/worm
AAEL006792,AAEL000106,0.97,fly
AAEL010945,AAEL012515,0.97,fly
AAEL002474,AAEL010244,0.97,fly
AAEL001932,AAEL014148,0.97,fly
AAEL009171,AAEL007444,0.969,fly
AAEL005174,AAEL007290,0.969,fly
AAEL008687,AAEL004808,0.969,fly
AAEL013144,AAEL012661,0.969,yeast
AAEL013144,AAEL006851,0.969,yeast
AAEL006135,AAEL009839,0.969,yeast
AAEL012240,AAEL001516,0.969,yeast/fly
AAEL010284,AAEL010284,0.968,fly
AAEL008164,AAEL008164,0.968,fly
AAEL005061,AAEL007330,0.968,yeast
AAEL005061,AAEL013769,0.968,yeast
AAEL003568,AAEL003568,0.967,fly
AAEL013134,AAEL007568,0.967,yeast
AAEL005364,AAEL000983,0.967,yeast
AAEL007521,AAEL013688,0.967,yeast
AAEL002337,AAEL008095,0.966,fly
AAEL004178,AAEL004178,0.966,fly
AAEL006735,AAEL008700,0.966,fly
AAEL000982,AAEL010797,0.966,yeast
AAEL002337,AAEL008086,0.965,fly
AAEL014732,AAEL008425,0.965,fly
AAEL009160,AAEL008758,0.965,fly
AAEL009170,AAEL005166,0.965,worm/fly
AAEL006177,AAEL009882,0.965,yeast/worm
AAEL007284,AAEL011304,0.964,fly
AAEL006883,AAEL011323,0.964,fly
AAEL002337,AAEL013212,0.964,yeast
AAEL002216,AAEL008661,0.964,yeast
AAEL002337,AAEL012507,0.964,yeast
AAEL013154,AAEL011025,0.963,fly
AAEL005169,AAEL005276,0.963,fly
AAEL004474,AAEL006510,0.963,fly
AAEL005500,AAEL010794,0.963,yeast
AAEL013390,AAEL005802,0.963,yeast
AAEL011650,AAEL007124,0.963,yeast/worm
AAEL012472,AAEL014584,0.962,fly
AAEL002337,AAEL003180,0.962,yeast
AAEL003180,AAEL004427,0.962,yeast
AAEL001969,AAEL011848,0.961,fly
AAEL000709,AAEL007696,0.961,fly
AAEL012014,AAEL004967,0.961,fly
AAEL007521,AAEL010030,0.961,yeast
AAEL006642,AAEL002851,0.961,yeast
AAEL007637,AAEL005827,0.96,fly
AAEL000440,AAEL000404,0.96,yeast
AAEL007939,AAEL002810,0.96,yeast
AAEL013229,AAEL002851,0.96,yeast
AAEL011701,AAEL008794,0.959,fly
AAEL008247,AAEL011876,0.959,yeast
AAEL012904,AAEL006091,0.959,yeast
AAEL002337,AAEL004427,0.959,yeast
AAEL009814,AAEL000955,0.959,yeast
AAEL005858,AAEL010033,0.959,yeast/worm
AAEL012997,AAEL004269,0.958,fly
AAEL008014,AAEL010682,0.958,fly
AAEL015080,AAEL002810,0.958,yeast
AAEL006788,AAEL006223,0.958,yeast
AAEL000118,AAEL007904,0.958,yeast
AAEL010371,AAEL011790,0.958,yeast/fly
AAEL011058,AAEL001380,0.957,fly
AAEL013094,AAEL001380,0.957,fly
